procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255960   3332 289924    0    0    17    15  103  224  0  2 98  0  0
 0  0      0 255900   3332 289896    0    0     0     0   98  210  0  2 98  0  0
 1  0      0 255900   3332 289896    0    0     0     0   97  200  0  2 98  0  0
 1  0      0 255900   3332 289896    0    0     0     0   99  204  0  4 96  0  0
 2  0      0 255900   3332 289896    0    0     0     0   99  196  0  3 97  0  0
 2  0      0 255900   3332 289896    0    0     0     0  105  209  0  4 96  0  0
 1  0      0 255900   3332 289896    0    0     0     0  104  209  0  3 97  0  0
 2  0      0 255900   3332 289896    0    0     0     0   98  207  0  2 98  0  0
 1  0      0 255900   3332 289896    0    0     0     0  100  201  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   87  188  0  2 98  0  0
 1  0      0 255900   3332 289896    0    0     0     0   86  181  0  4 96  0  0
 1  0      0 255900   3332 289896    0    0     0     0   89  198  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   90  198  0  2 98  0  0
 1  0      0 255900   3332 289896    0    0     0     0   91  188  0  4 96  0  0
 1  0      0 255900   3332 289896    0    0     0     0   94  197  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   90  210  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   85  181  0  2 98  0  0
 3  0      0 255900   3332 289896    0    0     0     0   89  197  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   93  195  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   91  194  0  3 97  0  0
 2  0      0 255900   3332 289896    0    0     0     0   93  196  0  3 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 255900   3332 289896    0    0     0     0   86  192  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   92  183  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   85  189  0  2 98  0  0
 1  0      0 255900   3332 289896    0    0     0     6   97  207  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   94  205  0  4 96  0  0
 2  0      0 255900   3332 289896    0    0     0     0   91  196  0  2 98  0  0
 2  0      0 255900   3332 289896    0    0     0     0   85  187  0  3 97  0  0
 1  0      0 255900   3332 289896    0    0     0     0   94  194  0  4 96  0  0
 2  0      0 255900   3332 289896    0    0     0     0   86  190  0  3 97  0  0
 2  0      0 255900   3332 289896    0    0     0     0   96  201  0  1 99  0  0
 2  0      0 255900   3332 289896    0    0     0 13292  126  207  0  5 95  0  0
